player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,Name,Position,Source,ERA,xERA,era_minus_xera_diff
650333,2024,672,611,0.314,0.31,0.004,0.392,0.408,-0.0159999999999999,0.323,0.33,-0.007,Luis Arraez,BAT,BBSavant_2024,,,
595777,2024,668,473,0.28,0.279,0.001,0.459,0.451,0.008,0.365,0.366,-0.001,Jurickson Profar,BAT,BBSavant_2024,,,
650402,2024,665,461,0.257,0.24,0.017,0.378,0.386,-0.008,0.313,0.314,-0.001,Gleyber Torres,BAT,BBSavant_2024,,,
623993,2024,665,471,0.235,0.225,0.0099999999999999,0.506,0.458,0.0479999999999999,0.345,0.327,0.0179999999999999,Anthony Santander,BAT,BBSavant_2024,,,
621493,2024,663,430,0.246,0.246,0.0,0.426,0.466,-0.04,0.325,0.345,-0.0199999999999999,Taylor Ward,BAT,BBSavant_2024,,,
607043,2024,663,416,0.224,0.241,-0.0169999999999999,0.399,0.417,-0.0179999999999999,0.321,0.338,-0.017,Brandon Nimmo,BAT,BBSavant_2024,,,
592206,2024,659,469,0.254,0.268,-0.014,0.431,0.454,-0.023,0.321,0.337,-0.016,Nick Castellanos,BAT,BBSavant_2024,,,
664023,2024,657,403,0.243,0.24,0.003,0.441,0.453,-0.012,0.341,0.347,-0.0059999999999999,Ian Happ,BAT,BBSavant_2024,,,
668715,2024,656,439,0.225,0.234,-0.009,0.402,0.392,0.01,0.316,0.321,-0.005,Spencer Steer,BAT,BBSavant_2024,,,
630105,2024,656,463,0.241,0.257,-0.016,0.39,0.431,-0.0409999999999999,0.315,0.339,-0.024,Jake Cronenworth,BAT,BBSavant_2024,,,
502671,2024,654,428,0.245,0.252,-0.007,0.414,0.462,-0.048,0.31,0.332,-0.022,Paul Goldschmidt,BAT,BBSavant_2024,,,
521692,2024,652,467,0.271,0.271,0.0,0.456,0.53,-0.074,0.335,0.361,-0.0259999999999999,Salvador Perez,BAT,BBSavant_2024,,,
680977,2024,652,511,0.278,0.275,0.003,0.417,0.432,-0.015,0.332,0.341,-0.009,Brendan Donovan,BAT,BBSavant_2024,,,
606192,2024,652,402,0.272,0.245,0.027,0.501,0.493,0.008,0.36,0.347,0.013,Teoscar Hernández,BAT,BBSavant_2024,,,
665161,2024,650,500,0.266,0.262,0.004,0.394,0.401,-0.007,0.305,0.314,-0.009,Jeremy Peña,BAT,BBSavant_2024,,,
668227,2024,648,384,0.219,0.213,0.006,0.388,0.381,0.007,0.32,0.322,-0.002,Randy Arozarena,BAT,BBSavant_2024,,,
656305,2024,647,419,0.247,0.244,0.003,0.463,0.46,0.003,0.34,0.342,-0.002,Matt Chapman,BAT,BBSavant_2024,,,
641857,2024,645,386,0.242,0.238,0.004,0.397,0.421,-0.0239999999999999,0.315,0.327,-0.012,Ryan McMahon,BAT,BBSavant_2024,,,
592518,2024,643,473,0.275,0.266,0.009,0.472,0.467,0.0049999999999999,0.34,0.34,0.0,Manny Machado,BAT,BBSavant_2024,,,
668709,2024,642,448,0.243,0.238,0.005,0.437,0.413,0.024,0.33,0.322,0.008,JJ Bleday,BAT,BBSavant_2024,,,
663538,2024,641,519,0.273,0.281,-0.008,0.373,0.359,0.014,0.313,0.318,-0.005,Nico Hoerner,BAT,BBSavant_2024,,,
