Name,ADP,ADP_FP,ADP_ESPN
Victor Scott II,296.1,333.0,259.2
Carson Kelly,296.2,335.0,257.5
Will Warren,296.8,334.0,259.5
TJ Friedl,297.2,336.0,258.3
Jacob Lopez,297.9,339.0,256.8
Cam Smith,298.0,337.0,258.9
Dustin May,298.2,338.0,258.3
Brooks Baldwin,300.0,340.0,260.0
Colt Keith,300.6,347.0,254.3
Miguel Andujar,301.0,343.0,259.0
Zack Gelof,301.8,344.0,259.6
Michael Soroka,302.5,345.0,260.0
Matt Wallner,303.0,346.0,259.9
Bo Naylor,303.4,348.0,258.7
Carlos Narvaez,303.6,349.0,258.2
Spencer Horwitz,304.6,351.0,258.1
Zach Cole,305.0,350.0,260.0
Jameson Taillon,305.5,352.0,259.0
Garrett Whitlock,306.2,353.0,259.5
Jordan Walker,306.6,354.0,259.2
Cedric Mullins,306.8,358.0,255.5
Tyler Fitzgerald,307.9,356.0,259.8
Miguel Amaya,308.4,357.0,259.7
Phil Maton,309.6,359.0,260.2
Paul DeJong,310.0,360.0,260.0
Mike Burrows,310.4,361.0,259.7
Coby Mayo,311.0,362.0,260.0
Connor Norby,311.2,363.0,259.4
Brandon Marsh,311.6,364.0,259.2
Tyler Rogers,311.8,365.0,258.5
Jose Alvarado,312.3,445.0,179.6
Andres Gimenez,312.5,390.0,235.0
Clayton Beeter,313.0,366.0,260.0
Jonny DeLuca,313.5,367.0,260.0
Miguel Vargas,313.6,368.0,259.3
Josh Jung,314.4,370.0,258.7
Victor Vodnik,314.5,369.0,260.0
Matt Brash,315.2,371.0,259.3
Camilo Doval,315.6,374.0,257.2
Brad Keller,316.2,373.0,259.4
Austin Hays,317.0,376.0,258.1
Michael Wacha,317.4,379.0,255.8
Grant Taylor,317.5,375.0,260.0
Colt Emerson,318.5,377.0,260.0
Chad Patrick,319.0,378.0,260.0
Ernie Clement,319.8,383.0,256.7
Dominic Canzone,319.9,380.0,259.8
CJ Kayfus,320.4,381.0,259.8
Gavin Sheets,321.8,384.0,259.6
Max Meyer,322.4,385.0,259.9
Grant Holmes,322.8,387.0,258.5
Cristian Javier,322.8,386.0,259.6
Luisangel Acuna,323.8,388.0,259.5
Will Vest,323.8,389.0,258.6
Pavin Smith,325.5,391.0,260.0
Luis Morales,325.9,392.0,259.8
Isaac Collins,326.4,394.0,258.7
Reynaldo Lopez,326.5,393.0,260.0
Victor Robles,327.5,395.0,260.0
Dean Kremer,327.8,396.0,259.5
Justin Steele,328.1,401.0,255.2
Jesus Sanchez,328.3,397.0,259.6
Christian Moore,328.7,398.0,259.4
Luis Gil,329.2,399.0,259.5
Adrian Morejon,329.8,400.0,259.7
Zach McKinstry,330.4,403.0,257.9
Jordan Leasure,331.0,402.0,260.0
Ryan McMahon,331.4,404.0,258.7
Jake Meyers,332.4,405.0,259.8
Jordan Lawlar,333.5,407.0,260.0
Masataka Yoshida,333.8,408.0,259.5
Jorge Mateo,334.4,409.0,259.7
Lucas Giolito,334.6,410.0,259.2
Josh Smith,335.4,411.0,259.7
Carlos Santana,335.6,413.0,258.2
Charlie Condon,336.0,412.0,260.0
Carson Williams,337.4,415.0,259.9
Andrew Kittredge,337.8,416.0,259.6
Wenceel Perez,338.4,417.0,259.7
Hyeseong Kim,338.6,418.0,259.1
Freddy Fermin,339.4,421.0,257.7
Griffin Conine,339.4,419.0,259.9
Reid Detmers,340.0,420.0,260.0
Denzel Clarke,341.5,423.0,260.0
Nolan Schanuel,341.8,424.0,259.6
Nick Martinez,341.9,426.0,257.8
Garrett Cleavinger,343.6,427.0,260.2
JoJo Romero,343.7,428.0,259.4
Josh Bell,344.2,429.0,259.3
Lane Thomas,344.9,430.0,259.8
Luis Severino,345.2,431.0,259.3
A.J. Minter,346.1,432.0,260.2
Robert Stephenson,346.5,433.0,260.0
Jose Soriano,347.0,434.0,259.9
Johan Oviedo,347.5,435.0,260.0
Thomas White,348.0,436.0,260.0
Clay Holmes,348.4,441.0,255.7
Jake Mangum,348.5,437.0,260.0
Nathan Lukes,348.9,438.0,259.8
Gary Sanchez,349.4,439.0,259.7
Ryan Mountcastle,349.8,442.0,257.7
Dalton Rushing,349.8,440.0,259.6
Matthew Liberatore,351.4,444.0,258.7
Chase Meidroth,351.5,443.0,260.0
Kody Clemens,353.0,446.0,260.0
JP Sears,353.2,447.0,259.4
Yoan Moncada,354.0,448.0,260.0
Kyle Higashioka,354.2,449.0,259.5
Javier Baez,354.5,451.0,258.0
Hunter Harvey,355.0,450.0,260.0
Zach Eflin,355.1,452.0,258.2
Michael Kopech,356.6,453.0,260.1
Troy Melton,357.0,454.0,260.0
Cody Ponce,372.0,372.0,
