Name,ADP_FP
Jasson Dominguez,256.0
Justin Crawford,257.0
Grayson Rodriguez,258.0
Casey Mize,259.0
Owen Caissie,260.0
Luis Arraez,261.0
Quinn Priester,262.0
Hurston Waldrep,263.0
Jose Caballero,264.0
Ryan Weathers,265.0
Bryce Miller,266.0
Dylan Beavers,267.0
Luis Garcia,268.0
Tyler O'Neill,269.0
Jordan Beck,270.0
Jeremiah Estrada,271.0
Robert Garcia,272.0
Ryne Nelson,273.0
Jared Jones,274.0
Robert Suarez,275.0
Bryan Abreu,276.0
Ryan Jeffers,277.0
Evan Carter,278.0
Edwin Uceta,280.0
Chris Bassitt,281.0
Logan O'Hoppe,282.0
Riley O'Brien,283.0
Corbin Burnes,284.0
Moises Ballesteros,285.0
Lenyn Sosa,286.0
Dillon Dingler,287.0
Ryan O'Hearn,288.0
Josh Lowe,289.0
Caleb Durbin,290.0
Ian Seymour,291.0
Parker Messick,292.0
Andrew Vaughn,293.0
Zebby Matthews,294.0
Shane Smith,295.0
Sean Murphy,296.0
Brett Baty,297.0
Marcelo Mayer,298.0
Kodai Senga,299.0
Andrew Painter,300.0
Joey Cantillo,301.0
Yusei Kikuchi,302.0
Chase DeLauter,303.0
Bennett Sousa,304.0
Bailey Ober,305.0
Ryan Waldschmidt,306.0
Logan Henderson,307.0
Robby Snelling,308.0
Brady Singer,309.0
Matt Svanson,310.0
Alex Vesia,311.0
Spencer Arrighetti,312.0
Braxton Ashcraft,313.0
Andrew Benintendi,314.0
Sean Manaea,315.0
Bryce Eldridge,316.0
Masyn Winn,317.0
Harrison Bader,318.0
Kirby Yates,319.0
George Valera,320.0
Justin Sterner,321.0
Nolan Arenado,322.0
Willi Castro,323.0
Kevin Ginkel,324.0
Matt Shaw,325.0
Kevin McGonigle,326.0
Edgar Quero,327.0
Tyler Mahle,328.0
Jung Hoo Lee,329.0
Brayan Bello,330.0
David Peterson,331.0
Jake Burger,332.0
Victor Scott,333.0
Will Warren,334.0
Carson Kelly,335.0
TJ Friedl,336.0
Cam Smith,337.0
Dustin May,338.0
Jacob Lopez,339.0
Brooks Baldwin,340.0
Luke Weaver,341.0
Mitch Keller,342.0
Miguel Andujar,343.0
Zack Gelof,344.0
Michael Soroka,345.0
Matt Wallner,346.0
Colt Keith,347.0
Bo Naylor,348.0
Carlos Narvaez,349.0
Zach Cole,350.0
Spencer Horwitz,351.0
Jameson Taillon,352.0
Garrett Whitlock,353.0
Jordan Walker,354.0
Seth Lugo,355.0
Tyler Fitzgerald,356.0
Miguel Amaya,357.0
Cedric Mullins II,358.0
Phil Maton,359.0
Paul DeJong,360.0
Mike Burrows,361.0
Coby Mayo,362.0
Connor Norby,363.0
Brandon Marsh,364.0
Tyler Rogers,365.0
Clayton Beeter,366.0
Jonny DeLuca,367.0
Miguel Vargas,368.0
Victor Vodnik,369.0
Josh Jung,370.0
Matt Brash,371.0
Cody Ponce,372.0
Brad Keller,373.0
Camilo Doval,374.0
Grant Taylor,375.0
Austin Hays,376.0
Colt Emerson,377.0
Chad Patrick,378.0
Michael Wacha,379.0
Dominic Canzone,380.0
CJ Kayfus,381.0
Tommy Edman,382.0
Ernie Clement,383.0
Gavin Sheets,384.0
Max Meyer,385.0
Cristian Javier,386.0
Grant Holmes,387.0
Luisangel Acuna,388.0
Will Vest,389.0
Andres Gimenez,390.0
Pavin Smith,391.0
Luis Morales,392.0
Reynaldo Lopez,393.0
Isaac Collins,394.0
Victor Robles,395.0
Dean Kremer,396.0
Jesus Sanchez,397.0
Christian Moore,398.0
Luis Gil,399.0
Adrian Morejon,400.0
Justin Steele,401.0
Jordan Leasure,402.0
Zach McKinstry,403.0
Ryan McMahon,404.0
Jake Meyers,405.0
Marcell Ozuna,406.0
Jordan Lawlar,407.0
Masataka Yoshida,408.0
Jorge Mateo,409.0
Lucas Giolito,410.0
Josh Smith,411.0
Charlie Condon,412.0
Carlos Santana,413.0
Brandon Pfaadt,414.0
Carson Williams,415.0
Andrew Kittredge,416.0
Wenceel Perez,417.0
Hyeseong Kim,418.0
Griffin Conine,419.0
Reid Detmers,420.0
Freddy Fermin,421.0
Tanner Scott,422.0
Denzel Clarke,423.0
Nolan Schanuel,424.0
Nick Castellanos,425.0
Nick Martinez,426.0
Garrett Cleavinger,427.0
JoJo Romero,428.0
Josh Bell,429.0
Lane Thomas,430.0
Luis Severino,431.0
A.J. Minter,432.0
Robert Stephenson,433.0
Jose Soriano,434.0
Johan Oviedo,435.0
Thomas White,436.0
Jake Mangum,437.0
Nathan Lukes,438.0
Gary Sanchez,439.0
Dalton Rushing,440.0
Clay Holmes,441.0
Ryan Mountcastle,442.0
Chase Meidroth,443.0
Matthew Liberatore,444.0
Jose Alvarado,445.0
Kody Clemens,446.0
JP Sears,447.0
Yoan Moncada,448.0
Kyle Higashioka,449.0
Hunter Harvey,450.0
Javier Baez,451.0
Zach Eflin,452.0
Michael Kopech,453.0
Troy Melton,454.0
